dataset,selected,n,auto_mean,auto_std,early_mean,early_std,even_mean,even_std,late_mean,late_std,all_mean,all_std
cifar100,"{0,1,3,4}(三种子一致)",3,91.97,0.21,92.22,0.18,92.38,0.1,90.91,0.14,92.56,0.09
flowers,"seed42:{0,1,8,10}; seed43:{0,6,7,8}; seed44:{6,8,9,10}",3,99.26,0.18,98.99,0.17,99.26,0.12,99.25,0.16,99.31,0.15
dtd,"seed42:{3,4,6,7}; seed43:{1,2,3,4}; seed44:{3,4,6,7}",3,77.73,0.25,77.09,0.37,77.98,0.44,79.18,0.41,79.06,0.03
