method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
lora,even,flowers,43,176742,85975398,0.2056,99.51,99.333,30,0.001,0.0001,0.0,6687.1,125.5
lora,even,flowers,44,176742,85975398,0.2056,99.51,99.333,30,0.001,0.0001,0.0,6687.1,125.4
lora,late,flowers,42,176742,85975398,0.2056,99.51,99.073,30,0.001,0.0001,0.0,2825.5,122.6
lora,late,flowers,43,176742,85975398,0.2056,99.51,99.317,30,0.001,0.0001,0.0,2825.5,122.8
lora,late,flowers,44,176742,85975398,0.2056,99.608,99.366,30,0.001,0.0001,0.0,2825.5,123.9
lora,mid,flowers,42,176742,85975398,0.2056,99.51,99.187,30,0.001,0.0001,0.0,4756.4,125.8
lora,mid,flowers,43,176742,85975398,0.2056,99.412,99.301,30,0.001,0.0001,0.0,4756.4,125.5
lora,mid,flowers,44,176742,85975398,0.2056,99.51,99.301,30,0.001,0.0001,0.0,4756.4,124.8
ssf,all,flowers,42,281190,86079846,0.3267,99.412,99.138,30,0.001,0.0005,0.0,14881.8,145.2
ssf,all,flowers,43,281190,86079846,0.3267,99.51,99.219,30,0.001,0.0005,0.0,14881.8,146.0
ssf,all,flowers,44,281190,86079846,0.3267,99.314,99.301,30,0.001,0.0005,0.0,14881.8,146.2
ssf,early,flowers,42,146022,85944678,0.1699,99.412,98.943,30,0.001,0.0005,0.0,9173.2,132.5
ssf,early,flowers,43,146022,85944678,0.1699,99.51,99.106,30,0.001,0.0005,0.0,9173.2,132.7
ssf,early,flowers,44,146022,85944678,0.1699,99.216,99.057,30,0.001,0.0005,0.0,9173.2,131.8
ssf,even,flowers,42,146022,85944678,0.1699,99.412,99.057,30,0.001,0.0005,0.0,9177.3,131.6
ssf,even,flowers,43,146022,85944678,0.1699,99.51,99.154,30,0.001,0.0005,0.0,9177.3,132.0
ssf,even,flowers,44,146022,85944678,0.1699,99.412,99.154,30,0.001,0.0005,0.0,9177.3,132.3
ssf,late,flowers,42,146022,85944678,0.1699,99.412,98.959,30,0.001,0.0005,0.0,5741.8,129.3
ssf,late,flowers,43,146022,85944678,0.1699,99.412,99.219,30,0.001,0.0005,0.0,5741.8,128.0
ssf,late,flowers,44,146022,85944678,0.1699,99.118,99.187,30,0.001,0.0005,0.0,5741.8,128.4
ssf,mid,flowers,42,146022,85944678,0.1699,99.412,98.975,30,0.001,0.0005,0.0,7244.9,130.9
ssf,mid,flowers,43,146022,85944678,0.1699,99.412,99.268,30,0.001,0.0005,0.0,7244.9,129.8
ssf,mid,flowers,44,146022,85944678,0.1699,99.51,99.236,30,0.001,0.0005,0.0,7244.9,129.6
bitfit,all,pets,42,131365,85827109,0.1531,97.011,93.759,30,0.001,0.0001,0.0,6678.7,185.8
bitfit,all,pets,43,131365,85827109,0.1531,95.652,94.113,30,0.001,0.0001,0.0,6678.7,188.3
bitfit,all,pets,44,131365,85827109,0.1531,97.011,93.35,30,0.001,0.0001,0.0,6678.7,188.3
full,all,pets,42,85827109,85827109,100.0,95.924,92.805,30,1e-05,0.05,0.1,10153.1,190.4
full,all,pets,43,85827109,85827109,100.0,96.467,92.805,30,1e-05,0.05,0.1,10153.1,189.6
full,all,pets,44,85827109,85827109,100.0,95.38,91.469,30,1e-05,0.05,0.1,10153.1,191.0
linear,all,pets,42,28453,85827109,0.0332,95.38,92.45,30,0.01,0.0001,0.0,1757.5,178.6
linear,all,pets,43,28453,85827109,0.0332,94.565,92.396,30,0.01,0.0001,0.0,1757.5,180.8
linear,all,pets,44,28453,85827109,0.0332,96.739,91.442,30,0.01,0.0001,0.0,1757.5,180.2
lora,all,pets,42,323365,86122021,0.3755,97.283,93.54,30,0.001,0.0001,0.0,6991.5,187.3
lora,all,pets,43,323365,86122021,0.3755,96.467,94.222,30,0.001,0.0001,0.0,6991.5,189.8
lora,all,pets,44,323365,86122021,0.3755,97.283,94.14,30,0.001,0.0001,0.0,6991.5,191.3
lora,early,pets,42,126757,85925413,0.1475,96.467,93.786,30,0.001,0.0001,0.0,6684.5,188.6
lora,early,pets,43,126757,85925413,0.1475,95.109,92.45,30,0.001,0.0001,0.0,6684.5,189.1
lora,early,pets,44,126757,85925413,0.1475,97.283,93.486,30,0.001,0.0001,0.0,6684.5,187.0
lora,even,pets,42,126757,85925413,0.1475,97.283,94.222,30,0.001,0.0001,0.0,6686.3,186.7
lora,even,pets,43,126757,85925413,0.1475,96.196,94.222,30,0.001,0.0001,0.0,6686.3,187.4
lora,even,pets,44,126757,85925413,0.1475,97.011,93.704,30,0.001,0.0001,0.0,6686.3,188.2
lora,late,pets,42,126757,85925413,0.1475,97.011,94.249,30,0.001,0.0001,0.0,2824.7,186.1
lora,late,pets,43,126757,85925413,0.1475,96.196,94.576,30,0.001,0.0001,0.0,2824.7,187.0
lora,late,pets,44,126757,85925413,0.1475,96.739,92.886,30,0.001,0.0001,0.0,2824.7,187.2
lora,mid,pets,42,126757,85925413,0.1475,96.739,93.649,30,0.001,0.0001,0.0,4755.6,188.4
lora,mid,pets,43,126757,85925413,0.1475,96.467,94.031,30,0.001,0.0001,0.0,4755.6,188.3
lora,mid,pets,44,126757,85925413,0.1475,97.283,93.186,30,0.001,0.0001,0.0,4755.6,186.3
ssf,all,pets,42,231205,86029861,0.2687,96.739,93.922,30,0.001,0.0005,0.0,14881.0,217.4
ssf,all,pets,43,231205,86029861,0.2687,95.652,94.331,30,0.001,0.0005,0.0,14881.0,218.6
ssf,all,pets,44,231205,86029861,0.2687,97.283,93.104,30,0.001,0.0005,0.0,14881.0,217.1
ssf,early,pets,42,96037,85894693,0.1118,97.283,93.595,30,0.001,0.0005,0.0,9172.8,188.0
