epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.117,1.862,2.713,0.0001,5.9,6684.6
2,4.3926,5.319,10.16,0.0002,4.4,6684.6
3,3.1784,23.191,33.511,0.0003,4.9,6684.6
4,1.9994,50.851,52.66,0.0004,4.6,6684.6
5,1.1897,69.947,63.883,0.0005,4.8,6684.6
6,0.7413,80.532,68.351,0.0006,4.7,6684.6
7,0.5109,86.915,71.702,0.0007,4.6,6684.6
8,0.3438,91.436,72.5,0.0008,4.7,6684.6
9,0.2292,95.798,73.83,0.0009,4.7,6684.6
10,0.1654,97.979,73.83,0.001,4.8,6684.6
11,0.1138,99.202,74.362,0.000995,4.7,6684.6
12,0.085,99.628,74.84,0.000977,4.6,6684.6
13,0.0682,99.734,75.319,0.000948,4.6,6684.6
14,0.0577,99.84,75.266,0.000908,4.7,6684.6
15,0.0494,99.681,74.947,0.000857,4.6,6684.6
16,0.0435,99.894,76.011,0.000798,4.8,6684.6
17,0.0342,100.0,76.436,0.000732,4.7,6684.6
18,0.031,100.0,75.798,0.00066,4.6,6684.6
19,0.027,100.0,75.957,0.000584,4.6,6684.6
20,0.0255,100.0,76.117,0.000506,4.7,6684.6
21,0.0236,100.0,75.957,0.000428,4.9,6684.6
22,0.0235,99.947,76.117,0.000351,4.8,6684.6
23,0.0224,99.947,76.17,0.000278,4.6,6684.6
24,0.0207,100.0,76.277,0.000211,4.7,6684.6
25,0.0206,100.0,76.117,0.000151,4.7,6684.6
26,0.0213,100.0,76.064,9.9e-05,4.6,6684.6
27,0.021,100.0,76.117,5.8e-05,4.7,6684.6
28,0.021,99.947,76.064,2.7e-05,4.6,6684.6
29,0.0202,99.947,76.064,8e-06,4.7,6684.6
30,0.022,99.947,76.064,1e-06,4.7,6684.6
