epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.1197,20.084,72.04,0.0001,33.2,6686.5
2,0.6477,84.104,89.5,0.0002,31.5,6686.5
3,0.3393,90.198,91.56,0.0003,32.0,6686.5
4,0.2736,91.727,92.0,0.0004,31.9,6686.5
5,0.2352,92.631,92.1,0.0005,31.8,6686.5
6,0.204,93.524,92.32,0.0006,32.0,6686.5
7,0.1841,94.067,92.16,0.0007,31.9,6686.5
8,0.1705,94.576,91.64,0.0008,31.8,6686.5
9,0.1594,94.862,90.74,0.0009,32.0,6686.5
10,0.1685,94.558,91.46,0.001,31.9,6686.5
11,0.1469,95.136,91.14,0.000976,32.2,6686.5
12,0.133,95.589,91.8,0.000905,31.8,6686.5
13,0.1107,96.324,91.52,0.000794,32.1,6686.5
14,0.0956,96.827,91.72,0.000655,31.8,6686.5
15,0.0798,97.287,91.22,0.000501,31.8,6686.5
16,0.0692,97.729,91.74,0.000347,31.9,6686.5
17,0.056,98.216,92.02,0.000207,31.8,6686.5
18,0.0479,98.467,92.06,9.7e-05,31.6,6686.5
19,0.0404,98.796,92.24,2.6e-05,31.7,6686.5
20,0.0395,98.829,92.2,1e-06,31.9,6686.5
