epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.047,2.234,3.032,0.0001,5.9,6678.8
2,4.1777,6.436,10.957,0.0002,4.5,6678.8
3,3.0488,25.638,35.266,0.0003,4.7,6678.8
4,1.9313,52.5,53.617,0.0004,4.6,6678.8
5,1.1333,70.957,64.787,0.0005,4.7,6678.8
6,0.7002,81.649,69.681,0.0006,4.5,6678.8
7,0.4671,87.926,72.394,0.0007,4.9,6678.8
8,0.3127,93.085,73.191,0.0008,4.6,6678.8
9,0.2257,94.894,74.468,0.0009,4.9,6678.8
10,0.1643,97.021,75.0,0.001,4.6,6678.8
11,0.121,98.457,75.266,0.000995,4.8,6678.8
12,0.0892,99.096,75.691,0.000977,4.6,6678.8
13,0.0685,99.468,75.745,0.000948,4.7,6678.8
14,0.055,100.0,75.904,0.000908,4.6,6678.8
15,0.0457,99.894,75.691,0.000857,4.6,6678.8
16,0.0411,99.84,76.17,0.000798,4.6,6678.8
17,0.0374,99.787,76.809,0.000732,4.7,6678.8
18,0.0331,99.894,76.277,0.00066,4.6,6678.8
19,0.03,100.0,76.596,0.000584,4.6,6678.8
20,0.0287,99.947,76.702,0.000506,4.7,6678.8
21,0.028,99.947,76.543,0.000428,4.7,6678.8
22,0.0258,100.0,76.702,0.000351,4.5,6678.8
23,0.0233,100.0,76.809,0.000278,4.6,6678.8
24,0.0247,99.947,76.809,0.000211,4.5,6678.8
25,0.0223,100.0,76.702,0.000151,4.5,6678.8
26,0.0226,100.0,76.596,9.9e-05,4.6,6678.8
27,0.0217,100.0,76.543,5.8e-05,4.7,6678.8
28,0.0211,100.0,76.596,2.7e-05,4.6,6678.8
29,0.0204,100.0,76.596,8e-06,4.8,6678.8
30,0.0217,100.0,76.596,1e-06,4.6,6678.8
