epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.3012,1.33,1.862,0.0001,6.0,6686.4
2,4.5374,3.83,7.713,0.0002,4.4,6686.4
3,3.2689,20.106,31.383,0.0003,4.6,6686.4
4,1.9602,50.0,54.734,0.0004,4.6,6686.4
5,1.0714,72.872,65.798,0.0005,4.9,6686.4
6,0.6412,82.553,71.117,0.0006,4.6,6686.4
7,0.4074,89.362,73.138,0.0007,4.8,6686.4
8,0.265,93.723,75.16,0.0008,4.8,6686.4
9,0.1749,97.074,75.0,0.0009,4.6,6686.4
10,0.1177,98.564,76.064,0.001,4.6,6686.4
11,0.0775,99.574,75.638,0.000995,4.7,6686.4
12,0.0612,99.521,75.957,0.000977,4.7,6686.4
13,0.0462,99.734,77.181,0.000948,4.6,6686.4
14,0.035,99.947,77.287,0.000908,4.7,6686.4
15,0.0308,100.0,77.66,0.000857,4.8,6686.4
16,0.025,99.947,77.553,0.000798,4.7,6686.4
17,0.0215,99.947,77.074,0.000732,4.8,6686.4
18,0.0204,100.0,76.915,0.00066,4.7,6686.4
19,0.0181,100.0,77.128,0.000584,4.6,6686.4
20,0.0165,100.0,77.234,0.000506,4.7,6686.4
21,0.0136,100.0,77.34,0.000428,4.6,6686.4
22,0.0133,100.0,77.234,0.000351,4.7,6686.4
23,0.0125,100.0,77.287,0.000278,4.6,6686.4
24,0.0116,100.0,77.074,0.000211,4.7,6686.4
25,0.012,100.0,77.34,0.000151,4.7,6686.4
26,0.0116,100.0,77.287,9.9e-05,4.7,6686.4
27,0.0115,100.0,77.234,5.8e-05,4.7,6686.4
28,0.0118,99.947,77.234,2.7e-05,4.7,6686.4
29,0.0113,100.0,77.287,8e-06,4.6,6686.4
30,0.0118,100.0,77.287,1e-06,4.6,6686.4
