epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.2447,17.827,69.36,0.0001,33.6,6686.5
2,0.6702,83.609,90.34,0.0002,31.8,6686.5
3,0.3427,89.851,91.36,0.0003,31.9,6686.5
4,0.2749,91.544,92.12,0.0004,32.2,6686.5
5,0.2338,92.696,92.22,0.0005,32.1,6686.5
6,0.2054,93.438,92.04,0.0006,32.0,6686.5
7,0.1886,94.0,92.18,0.0007,32.2,6686.5
8,0.1675,94.533,92.04,0.0008,31.8,6686.5
9,0.1613,94.727,92.16,0.0009,31.8,6686.5
10,0.1486,95.171,91.96,0.001,31.9,6686.5
11,0.1425,95.349,91.5,0.000976,31.8,6686.5
12,0.1327,95.647,92.06,0.000905,31.7,6686.5
13,0.1253,95.86,91.46,0.000794,31.7,6686.5
14,0.1006,96.573,92.1,0.000655,31.9,6686.5
15,0.0824,97.251,92.38,0.000501,31.9,6686.5
16,0.0661,97.789,92.46,0.000347,31.7,6686.5
17,0.0557,98.151,92.34,0.000207,31.7,6686.5
18,0.0483,98.407,92.32,9.7e-05,31.7,6686.5
19,0.0443,98.658,92.34,2.6e-05,32.1,6686.5
20,0.04,98.824,92.34,1e-06,31.8,6686.5
