epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.2696,10.106,37.926,0.001,5.3,1757.7
2,1.3264,65.851,69.894,0.002,4.2,1757.7
3,0.4057,88.191,74.894,0.003,4.3,1757.7
4,0.1532,95.426,74.787,0.004,4.3,1757.7
5,0.0721,97.926,74.309,0.005,4.3,1757.7
6,0.0374,99.628,74.734,0.006,4.2,1757.7
7,0.0417,98.883,75.957,0.007,4.3,1757.7
8,0.0452,98.67,74.628,0.008,4.2,1757.7
9,0.0574,98.032,74.149,0.009,4.5,1757.7
10,0.058,98.191,72.606,0.01,4.3,1757.7
11,0.0705,97.872,73.723,0.009946,4.3,1757.7
12,0.0597,98.298,72.5,0.009771,4.2,1757.7
13,0.0599,98.67,72.447,0.009479,4.2,1757.7
14,0.0599,98.138,72.766,0.009076,4.2,1757.7
15,0.0654,98.404,72.5,0.008573,4.4,1757.7
16,0.0515,98.511,73.351,0.007981,4.4,1757.7
17,0.0304,99.255,73.351,0.007317,4.3,1757.7
18,0.012,99.628,73.245,0.006595,4.4,1757.7
19,0.0166,99.628,73.351,0.005834,4.2,1757.7
20,0.0112,99.734,73.723,0.005053,4.5,1757.7
21,0.0022,100.0,73.936,0.00427,4.2,1757.7
22,0.0039,99.734,73.617,0.003505,4.3,1757.7
23,0.0051,99.787,73.404,0.002778,4.2,1757.7
24,0.0023,99.947,73.883,0.002104,4.2,1757.7
25,0.002,99.947,74.149,0.001503,4.2,1757.7
26,0.0035,99.894,73.989,0.000987,4.2,1757.7
27,0.0017,100.0,73.936,0.00057,4.2,1757.7
28,0.0044,99.947,73.936,0.000262,4.2,1757.7
29,0.0029,99.947,74.043,7.1e-05,4.3,1757.7
30,0.0037,99.894,74.043,1e-06,4.4,1757.7
