epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.5003,7.766,33.511,0.001,5.8,1757.7
2,1.34,64.309,69.255,0.002,4.4,1757.7
3,0.4266,86.809,74.043,0.003,4.2,1757.7
4,0.1506,95.319,75.0,0.004,4.2,1757.7
5,0.0585,98.777,74.362,0.005,4.2,1757.7
6,0.0405,98.936,75.266,0.006,4.3,1757.7
7,0.046,99.096,75.319,0.007,4.1,1757.7
8,0.0303,99.202,75.213,0.008,4.4,1757.7
9,0.0389,98.936,74.734,0.009,4.4,1757.7
10,0.0432,98.989,73.085,0.01,4.6,1757.7
11,0.1041,97.872,73.989,0.009946,4.3,1757.7
12,0.1155,97.766,72.872,0.009771,4.2,1757.7
13,0.1298,96.755,72.128,0.009479,4.3,1757.7
14,0.061,98.138,72.287,0.009076,4.4,1757.7
15,0.0818,97.713,71.862,0.008573,4.9,1757.7
16,0.1085,97.128,71.915,0.007981,4.6,1757.7
17,0.0849,97.66,72.287,0.007317,4.2,1757.7
18,0.0464,98.723,73.564,0.006595,4.3,1757.7
19,0.0324,99.362,72.872,0.005834,4.7,1757.7
20,0.0203,99.468,73.191,0.005053,4.3,1757.7
21,0.0122,99.628,73.511,0.00427,4.4,1757.7
22,0.0106,99.734,73.723,0.003505,4.3,1757.7
23,0.0112,99.734,73.989,0.002778,4.2,1757.7
24,0.0039,99.894,73.777,0.002104,4.1,1757.7
25,0.0013,100.0,73.883,0.001503,4.2,1757.7
26,0.0021,100.0,74.043,0.000987,4.2,1757.7
27,0.0037,99.947,74.096,0.00057,4.6,1757.7
28,0.0014,100.0,74.096,0.000262,4.2,1757.7
29,0.0013,100.0,74.096,7.1e-05,4.2,1757.7
30,0.001,100.0,74.096,1e-06,4.3,1757.7
