epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0939,2.181,2.5,0.0001,6.1,5741.2
2,4.2673,6.862,11.649,0.0002,4.6,5741.2
3,3.0372,26.011,34.947,0.0003,4.7,5741.2
4,1.8954,52.926,53.351,0.0004,4.7,5741.2
5,1.1659,71.064,63.883,0.0005,4.7,5741.2
6,0.7535,80.798,68.245,0.0006,4.8,5741.2
7,0.523,87.5,71.277,0.0007,4.8,5741.2
8,0.3644,91.011,72.766,0.0008,4.9,5741.2
9,0.2602,94.894,73.883,0.0009,4.8,5741.2
10,0.1807,97.074,74.628,0.001,4.8,5741.2
11,0.1314,97.979,74.681,0.000995,4.8,5741.2
12,0.1033,98.883,75.266,0.000977,4.7,5741.2
13,0.0793,99.574,74.734,0.000948,4.8,5741.2
14,0.0694,99.468,75.479,0.000908,4.8,5741.2
15,0.0579,99.84,75.479,0.000857,4.8,5741.2
16,0.0485,99.681,75.532,0.000798,4.7,5741.2
17,0.0458,99.84,75.426,0.000732,4.9,5741.2
18,0.0409,99.894,76.011,0.00066,4.9,5741.2
19,0.0402,99.787,76.277,0.000584,4.7,5741.2
20,0.0341,100.0,75.798,0.000506,4.8,5741.2
21,0.0331,99.894,75.691,0.000428,4.8,5741.2
22,0.0307,99.894,75.745,0.000351,5.0,5741.2
23,0.0306,99.947,75.904,0.000278,4.9,5741.2
24,0.0278,100.0,75.798,0.000211,4.8,5741.2
25,0.0282,99.894,75.957,0.000151,4.7,5741.2
26,0.0287,100.0,76.011,9.9e-05,4.7,5741.2
27,0.0271,100.0,76.011,5.8e-05,4.9,5741.2
28,0.0284,99.947,76.011,2.7e-05,4.8,5741.2
29,0.0286,99.947,76.011,8e-06,4.7,5741.2
30,0.0297,99.84,76.064,1e-06,4.8,5741.2
