epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.3125,1.277,2.074,0.0001,6.4,9176.6
2,4.509,3.085,8.191,0.0002,5.0,9176.6
3,3.2457,19.468,30.106,0.0003,5.2,9176.6
4,2.0865,48.404,50.638,0.0004,5.4,9176.6
5,1.2234,69.362,63.617,0.0005,5.3,9176.6
6,0.769,79.202,68.085,0.0006,5.2,9176.6
7,0.5242,86.17,71.489,0.0007,5.2,9176.6
8,0.3497,91.489,73.404,0.0008,5.3,9176.6
9,0.2481,95.053,74.149,0.0009,5.2,9176.6
10,0.1801,97.287,75.106,0.001,5.2,9176.6
11,0.1238,98.457,75.372,0.000995,5.1,9176.6
12,0.0916,99.255,75.851,0.000977,5.2,9176.6
13,0.0756,99.362,76.33,0.000948,5.3,9176.6
14,0.0628,99.574,76.33,0.000908,5.2,9176.6
15,0.0538,99.734,76.755,0.000857,5.1,9176.6
16,0.0465,99.947,77.34,0.000798,5.3,9176.6
17,0.0397,99.894,77.287,0.000732,5.3,9176.6
18,0.0394,99.947,77.181,0.00066,5.2,9176.6
19,0.0363,99.894,77.287,0.000584,5.3,9176.6
20,0.0322,99.84,77.128,0.000506,5.2,9176.6
21,0.0299,99.947,77.5,0.000428,5.2,9176.6
22,0.0277,99.947,77.553,0.000351,5.4,9176.6
23,0.0272,99.947,77.447,0.000278,5.3,9176.6
24,0.0264,100.0,77.606,0.000211,5.1,9176.6
25,0.0254,100.0,77.713,0.000151,5.4,9176.6
26,0.0258,99.947,77.819,9.9e-05,5.2,9176.6
27,0.0261,99.947,77.766,5.8e-05,5.5,9176.6
28,0.0232,100.0,77.819,2.7e-05,5.2,9176.6
29,0.0248,99.947,77.766,8e-06,5.4,9176.6
30,0.0242,100.0,77.766,1e-06,5.3,9176.6
