epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0966,1.755,2.926,0.0001,6.1,6991.6
2,4.2193,7.021,12.872,0.0002,4.8,6991.6
3,2.8584,30.532,41.755,0.0003,4.7,6991.6
4,1.5302,61.543,62.819,0.0004,4.8,6991.6
5,0.7787,77.872,69.787,0.0005,4.8,6991.6
6,0.4575,87.5,71.596,0.0006,4.9,6991.6
7,0.2749,92.926,74.362,0.0007,5.0,6991.6
8,0.1668,96.33,75.691,0.0008,4.9,6991.6
9,0.0966,98.457,74.84,0.0009,4.9,6991.6
10,0.0566,99.681,76.011,0.001,4.8,6991.6
11,0.0393,99.734,75.585,0.000995,5.0,6991.6
12,0.0263,99.894,75.745,0.000977,4.9,6991.6
13,0.0254,99.734,76.011,0.000948,4.9,6991.6
14,0.0234,99.734,76.649,0.000908,4.8,6991.6
15,0.0168,99.84,76.117,0.000857,4.8,6991.6
16,0.0147,99.894,76.915,0.000798,4.8,6991.6
17,0.0096,100.0,76.862,0.000732,4.8,6991.6
18,0.0081,100.0,76.596,0.00066,4.7,6991.6
19,0.0077,99.947,77.34,0.000584,4.7,6991.6
20,0.0067,100.0,77.34,0.000506,5.0,6991.6
21,0.0058,100.0,77.234,0.000428,4.9,6991.6
22,0.0054,100.0,77.34,0.000351,4.8,6991.6
23,0.005,100.0,77.287,0.000278,4.9,6991.6
24,0.0048,100.0,77.181,0.000211,5.0,6991.6
25,0.0046,100.0,77.128,0.000151,4.8,6991.6
26,0.0045,100.0,77.287,9.9e-05,4.8,6991.6
27,0.0043,100.0,77.181,5.8e-05,4.8,6991.6
28,0.0047,100.0,77.181,2.7e-05,4.9,6991.6
29,0.0044,100.0,77.181,8e-06,4.9,6991.6
30,0.0045,100.0,77.181,1e-06,4.8,6991.6
