epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0606,2.074,2.553,0.0001,6.0,6678.8
2,4.154,6.809,11.809,0.0002,4.4,6678.8
3,3.0205,26.33,35.904,0.0003,4.4,6678.8
4,1.8765,54.202,53.989,0.0004,4.7,6678.8
5,1.1092,72.287,64.894,0.0005,4.6,6678.8
6,0.6972,81.596,69.681,0.0006,4.5,6678.8
7,0.4806,87.979,72.181,0.0007,4.7,6678.8
8,0.3347,92.074,74.149,0.0008,4.7,6678.8
9,0.2395,94.84,74.202,0.0009,4.6,6678.8
10,0.1657,96.968,74.574,0.001,4.7,6678.8
11,0.1197,98.457,74.362,0.000995,4.7,6678.8
12,0.0956,98.936,74.734,0.000977,4.6,6678.8
13,0.0746,99.415,75.479,0.000948,4.7,6678.8
14,0.0616,99.521,76.223,0.000908,4.5,6678.8
15,0.0509,99.947,76.649,0.000857,4.5,6678.8
16,0.0439,99.787,76.915,0.000798,4.6,6678.8
17,0.0389,99.894,76.489,0.000732,4.7,6678.8
18,0.0351,99.947,76.383,0.00066,4.5,6678.8
19,0.0328,99.84,76.809,0.000584,4.8,6678.8
20,0.0289,100.0,76.543,0.000506,4.7,6678.8
21,0.0284,99.947,76.702,0.000428,4.6,6678.8
22,0.0259,99.894,76.809,0.000351,4.7,6678.8
23,0.0254,100.0,76.809,0.000278,4.7,6678.8
24,0.0245,100.0,76.862,0.000211,4.6,6678.8
25,0.0229,99.947,76.915,0.000151,4.5,6678.8
26,0.0239,100.0,76.915,9.9e-05,4.8,6678.8
27,0.0226,100.0,76.915,5.8e-05,4.7,6678.8
28,0.0231,99.947,76.968,2.7e-05,4.7,6678.8
29,0.0227,99.947,76.915,8e-06,4.7,6678.8
30,0.0227,99.947,76.915,1e-06,4.6,6678.8
