epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.3156,1.33,1.968,0.0001,6.5,9172.8
2,4.5135,3.191,8.191,0.0002,5.0,9172.8
3,3.2837,18.989,29.415,0.0003,5.2,9172.8
4,2.1266,47.926,49.894,0.0004,5.3,9172.8
5,1.2683,68.989,61.862,0.0005,5.2,9172.8
6,0.8012,78.83,67.074,0.0006,5.3,9172.8
7,0.5503,85.372,70.16,0.0007,5.3,9172.8
8,0.367,90.745,72.34,0.0008,5.2,9172.8
9,0.2604,94.628,73.457,0.0009,5.4,9172.8
10,0.1896,96.915,74.362,0.001,5.3,9172.8
11,0.1302,98.511,74.947,0.000995,5.2,9172.8
12,0.0971,99.255,75.106,0.000977,5.2,9172.8
13,0.0809,99.362,75.798,0.000948,5.4,9172.8
14,0.0653,99.681,76.011,0.000908,5.2,9172.8
15,0.0573,99.894,76.223,0.000857,5.2,9172.8
16,0.0498,99.894,76.33,0.000798,5.2,9172.8
17,0.0415,100.0,76.33,0.000732,5.3,9172.8
18,0.0401,99.947,76.543,0.00066,5.2,9172.8
19,0.0366,99.947,76.489,0.000584,5.3,9172.8
20,0.0335,100.0,76.064,0.000506,5.2,9172.8
21,0.0326,99.894,76.223,0.000428,5.2,9172.8
22,0.0287,99.947,76.489,0.000351,5.3,9172.8
23,0.0286,100.0,76.543,0.000278,5.5,9172.8
24,0.0279,100.0,76.702,0.000211,5.2,9172.8
25,0.0272,100.0,76.702,0.000151,5.2,9172.8
26,0.0266,99.947,76.649,9.9e-05,5.1,9172.8
27,0.0269,100.0,76.596,5.8e-05,5.2,9172.8
28,0.0243,100.0,76.543,2.7e-05,5.1,9172.8
29,0.0257,99.947,76.543,8e-06,5.3,9172.8
30,0.0255,100.0,76.543,1e-06,5.2,9172.8
