epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.077,2.234,2.819,0.0001,6.7,9176.6
2,4.332,5.372,10.691,0.0002,5.0,9176.6
3,3.1208,23.723,34.096,0.0003,5.1,9176.6
4,1.9671,52.766,53.351,0.0004,5.0,9176.6
5,1.1872,69.894,63.457,0.0005,5.1,9176.6
6,0.7452,81.011,68.138,0.0006,5.1,9176.6
7,0.499,87.394,70.691,0.0007,5.2,9176.6
8,0.337,92.287,72.553,0.0008,5.1,9176.6
9,0.2426,94.574,73.511,0.0009,5.2,9176.6
10,0.177,97.34,73.777,0.001,5.0,9176.6
11,0.1307,98.138,74.947,0.000995,5.2,9176.6
12,0.0955,99.043,74.947,0.000977,5.1,9176.6
13,0.0745,99.415,75.532,0.000948,5.1,9176.6
14,0.0607,100.0,75.798,0.000908,5.2,9176.6
15,0.0514,99.947,75.904,0.000857,5.3,9176.6
16,0.0463,99.734,76.17,0.000798,5.1,9176.6
17,0.0416,99.787,76.117,0.000732,5.3,9176.6
18,0.038,99.894,76.011,0.00066,5.2,9176.6
19,0.034,100.0,76.543,0.000584,5.1,9176.6
20,0.0323,99.947,76.277,0.000506,5.2,9176.6
21,0.031,99.947,76.383,0.000428,5.2,9176.6
22,0.0286,99.947,76.383,0.000351,5.1,9176.6
23,0.0264,100.0,76.489,0.000278,5.0,9176.6
24,0.0282,99.947,76.436,0.000211,4.9,9176.6
25,0.0253,100.0,76.543,0.000151,5.1,9176.6
26,0.0253,100.0,76.543,9.9e-05,5.2,9176.6
27,0.0246,100.0,76.489,5.8e-05,5.1,9176.6
28,0.024,100.0,76.543,2.7e-05,5.2,9176.6
29,0.0229,100.0,76.543,8e-06,5.1,9176.6
30,0.0251,99.947,76.543,1e-06,5.2,9176.6
