epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2949,2.34,1.755,1e-06,6.3,10153.2
2,5.0041,1.809,2.287,2e-06,5.0,10153.2
3,4.5349,3.191,3.777,3e-06,5.1,10153.2
4,4.1695,4.468,6.064,4e-06,5.0,10153.2
5,3.96,5.106,10.638,5e-06,5.0,10153.2
6,3.7012,10.798,20.053,6e-06,5.2,10153.2
7,3.3931,18.298,32.234,7e-06,5.1,10153.2
8,3.0133,26.809,42.021,8e-06,5.0,10153.2
9,2.5047,38.032,52.128,9e-06,5.1,10153.2
10,2.0917,47.819,60.266,1e-05,4.9,10153.2
11,1.7277,55.585,65.106,1e-05,5.2,10153.2
12,1.4361,63.617,66.596,1e-05,5.1,10153.2
13,1.1918,68.351,68.883,1e-05,5.0,10153.2
14,1.043,74.468,70.426,9e-06,4.9,10153.2
15,0.9161,76.968,71.596,9e-06,5.0,10153.2
16,0.8334,79.521,72.074,8e-06,5.0,10153.2
17,0.7598,80.319,72.606,8e-06,5.2,10153.2
18,0.6926,82.713,73.511,7e-06,5.2,10153.2
19,0.6339,84.681,73.777,6e-06,4.9,10153.2
20,0.6115,84.681,73.457,6e-06,5.3,10153.2
21,0.5622,86.702,73.777,5e-06,5.1,10153.2
22,0.5598,86.33,74.043,4e-06,5.2,10153.2
23,0.5365,86.277,74.096,3e-06,5.0,10153.2
24,0.4957,88.617,74.149,3e-06,5.0,10153.2
25,0.4779,88.138,74.149,2e-06,5.2,10153.2
26,0.4746,88.564,74.096,2e-06,5.2,10153.2
27,0.4548,89.309,74.096,2e-06,5.1,10153.2
28,0.4549,88.989,74.202,1e-06,5.1,10153.2
29,0.4779,89.309,74.096,1e-06,5.1,10153.2
30,0.4479,88.883,74.309,1e-06,5.1,10153.2
