epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.1006,2.128,2.553,0.0001,6.4,9172.8
2,4.2861,5.851,10.745,0.0002,4.9,9172.8
3,3.1121,23.936,33.351,0.0003,5.0,9172.8
4,1.9951,50.798,50.904,0.0004,5.2,9172.8
5,1.2227,69.309,62.021,0.0005,5.1,9172.8
6,0.7829,80.053,67.713,0.0006,5.1,9172.8
7,0.5375,87.074,70.745,0.0007,5.4,9172.8
8,0.3739,90.957,72.553,0.0008,5.3,9172.8
9,0.2661,94.468,73.511,0.0009,5.3,9172.8
10,0.1848,96.915,73.83,0.001,5.3,9172.8
11,0.1338,97.872,74.362,0.000995,5.1,9172.8
12,0.1029,99.309,74.096,0.000977,5.2,9172.8
13,0.0815,99.415,74.096,0.000948,5.3,9172.8
14,0.0682,99.734,75.479,0.000908,5.1,9172.8
15,0.0577,99.734,75.745,0.000857,5.2,9172.8
16,0.0495,99.787,75.426,0.000798,5.1,9172.8
17,0.0452,99.947,75.638,0.000732,5.3,9172.8
18,0.0414,99.947,75.532,0.00066,5.2,9172.8
19,0.039,99.84,75.532,0.000584,5.1,9172.8
20,0.0348,100.0,75.319,0.000506,5.2,9172.8
21,0.0342,99.947,75.638,0.000428,5.2,9172.8
22,0.0306,99.947,75.585,0.000351,5.2,9172.8
23,0.0299,100.0,75.638,0.000278,5.2,9172.8
24,0.0293,100.0,75.479,0.000211,5.0,9172.8
25,0.0271,99.947,75.532,0.000151,5.0,9172.8
26,0.0282,100.0,75.479,9.9e-05,5.2,9172.8
27,0.0272,99.947,75.691,5.8e-05,5.2,9172.8
28,0.0282,99.894,75.745,2.7e-05,5.1,9172.8
29,0.0274,99.947,75.798,8e-06,5.1,9172.8
30,0.027,99.947,75.798,1e-06,5.2,9172.8
