epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0915,2.128,2.5,0.0001,6.2,7244.2
2,4.2436,6.436,11.436,0.0002,4.7,7244.2
3,3.0454,24.947,34.947,0.0003,4.9,7244.2
4,1.9134,52.819,53.617,0.0004,4.8,7244.2
5,1.1443,71.702,63.245,0.0005,5.0,7244.2
6,0.7268,81.17,69.043,0.0006,4.9,7244.2
7,0.4992,86.968,71.915,0.0007,4.8,7244.2
8,0.346,92.287,73.723,0.0008,5.2,7244.2
9,0.2457,94.894,73.883,0.0009,4.9,7244.2
10,0.169,97.021,74.255,0.001,5.0,7244.2
11,0.1228,98.245,74.255,0.000995,5.0,7244.2
12,0.1002,99.043,74.734,0.000977,4.9,7244.2
13,0.0763,99.574,75.213,0.000948,5.1,7244.2
14,0.0638,99.681,75.638,0.000908,4.9,7244.2
15,0.0524,100.0,75.851,0.000857,5.0,7244.2
16,0.0453,99.787,75.851,0.000798,5.0,7244.2
17,0.0419,99.947,75.798,0.000732,5.0,7244.2
18,0.0379,99.947,76.117,0.00066,5.1,7244.2
19,0.0361,99.947,75.957,0.000584,5.0,7244.2
20,0.0307,100.0,75.904,0.000506,5.1,7244.2
21,0.0302,99.947,75.745,0.000428,4.9,7244.2
22,0.0285,99.894,75.957,0.000351,5.1,7244.2
23,0.0287,99.894,76.064,0.000278,5.0,7244.2
24,0.026,100.0,76.33,0.000211,5.0,7244.2
25,0.025,99.947,76.277,0.000151,4.8,7244.2
26,0.0257,100.0,76.33,9.9e-05,5.0,7244.2
27,0.0248,100.0,76.33,5.8e-05,5.0,7244.2
28,0.0249,99.947,76.277,2.7e-05,4.9,7244.2
29,0.0251,99.894,76.33,8e-06,5.0,7244.2
30,0.0256,99.947,76.33,1e-06,5.0,7244.2
