epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0753,2.234,2.766,0.0001,6.1,5741.2
2,4.2869,6.223,12.074,0.0002,4.6,5741.2
3,3.0655,25.691,36.383,0.0003,4.8,5741.2
4,1.8956,53.298,53.777,0.0004,4.6,5741.2
5,1.1628,70.479,64.574,0.0005,4.7,5741.2
6,0.7416,80.851,68.83,0.0006,4.8,5741.2
7,0.5067,87.553,70.957,0.0007,4.8,5741.2
8,0.3517,91.809,72.606,0.0008,4.9,5741.2
9,0.2533,94.947,73.191,0.0009,4.7,5741.2
10,0.1871,96.702,73.777,0.001,4.7,5741.2
11,0.1397,98.032,74.734,0.000995,4.8,5741.2
12,0.1027,98.989,75.319,0.000977,4.7,5741.2
13,0.0825,99.468,75.266,0.000948,4.7,5741.2
14,0.0646,99.894,75.266,0.000908,4.6,5741.2
15,0.057,99.787,75.266,0.000857,4.7,5741.2
16,0.0512,99.681,75.745,0.000798,4.7,5741.2
17,0.0439,99.894,76.011,0.000732,4.9,5741.2
18,0.0406,99.894,75.904,0.00066,4.7,5741.2
19,0.037,100.0,75.957,0.000584,4.7,5741.2
20,0.0355,99.894,76.011,0.000506,4.7,5741.2
21,0.0339,99.894,76.011,0.000428,4.7,5741.2
22,0.0321,99.787,76.117,0.000351,4.8,5741.2
23,0.0292,99.947,76.117,0.000278,4.7,5741.2
24,0.0314,99.894,76.17,0.000211,4.8,5741.2
25,0.0286,100.0,76.383,0.000151,4.8,5741.2
26,0.0274,99.947,76.277,9.9e-05,4.8,5741.2
27,0.0262,100.0,76.17,5.8e-05,4.8,5741.2
28,0.026,100.0,76.17,2.7e-05,4.9,5741.2
29,0.0246,99.947,76.117,8e-06,4.8,5741.2
30,0.0276,99.894,76.17,1e-06,4.7,5741.2
