epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.1016,2.128,2.553,0.0001,5.8,2824.9
2,4.2876,6.064,11.755,0.0002,4.2,2824.9
3,2.9585,28.191,37.287,0.0003,4.8,2824.9
4,1.6922,56.33,58.936,0.0004,4.4,2824.9
5,0.9271,75.426,68.67,0.0005,4.4,2824.9
6,0.5649,84.309,73.085,0.0006,4.6,2824.9
7,0.3503,90.798,74.043,0.0007,4.4,2824.9
8,0.2203,94.628,74.787,0.0008,4.6,2824.9
9,0.1372,97.447,75.106,0.0009,4.5,2824.9
10,0.0901,99.043,75.904,0.001,4.4,2824.9
11,0.0669,99.468,75.691,0.000995,4.3,2824.9
12,0.0546,99.415,76.755,0.000977,4.4,2824.9
13,0.0387,99.628,75.426,0.000948,4.4,2824.9
14,0.0318,99.84,76.649,0.000908,4.5,2824.9
15,0.023,99.947,75.851,0.000857,4.5,2824.9
16,0.0181,99.894,76.809,0.000798,4.6,2824.9
17,0.0165,99.947,76.436,0.000732,4.4,2824.9
18,0.0137,100.0,76.489,0.00066,4.5,2824.9
19,0.0141,99.947,76.489,0.000584,4.5,2824.9
20,0.013,99.947,76.702,0.000506,4.5,2824.9
21,0.0108,100.0,77.021,0.000428,4.5,2824.9
22,0.0094,100.0,76.702,0.000351,4.3,2824.9
23,0.0099,100.0,76.649,0.000278,4.4,2824.9
24,0.0088,100.0,76.489,0.000211,4.5,2824.9
25,0.0081,100.0,76.862,0.000151,4.3,2824.9
26,0.0087,100.0,76.755,9.9e-05,4.4,2824.9
27,0.0087,99.947,76.596,5.8e-05,4.4,2824.9
28,0.0075,100.0,76.596,2.7e-05,4.4,2824.9
29,0.008,100.0,76.489,8e-06,4.4,2824.9
30,0.009,100.0,76.489,1e-06,4.3,2824.9
