epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.1105,1.862,2.606,0.0001,5.7,5238.3
2,4.3451,5.585,11.17,0.0002,4.4,5238.3
3,3.1122,24.149,35.904,0.0003,4.6,5238.3
4,1.9098,53.777,55.585,0.0004,4.7,5238.3
5,1.0735,71.17,66.117,0.0005,4.6,5238.3
6,0.6496,83.032,70.0,0.0006,4.6,5238.3
7,0.4325,89.309,71.862,0.0007,4.6,5238.3
8,0.2828,92.926,73.936,0.0008,4.8,5238.3
9,0.183,97.021,75.0,0.0009,4.5,5238.3
10,0.1188,98.617,74.628,0.001,4.6,5238.3
11,0.0874,99.043,75.319,0.000995,4.5,5238.3
12,0.0641,99.628,75.745,0.000977,4.6,5238.3
13,0.0455,99.787,75.479,0.000948,4.5,5238.3
14,0.0355,100.0,75.372,0.000908,4.6,5238.3
15,0.0312,99.947,76.543,0.000857,4.6,5238.3
16,0.0266,100.0,76.383,0.000798,4.5,5238.3
17,0.0205,99.947,76.33,0.000732,4.5,5238.3
18,0.0182,100.0,76.33,0.00066,4.5,5238.3
19,0.0169,100.0,76.596,0.000584,4.6,5238.3
20,0.0156,100.0,76.862,0.000506,4.6,5238.3
21,0.0142,100.0,76.649,0.000428,4.6,5238.3
22,0.0139,100.0,76.755,0.000351,4.7,5238.3
23,0.0134,99.947,76.649,0.000278,4.4,5238.3
24,0.0129,99.947,76.543,0.000211,4.6,5238.3
25,0.0134,99.894,76.649,0.000151,4.5,5238.3
26,0.0127,100.0,76.596,9.9e-05,4.5,5238.3
27,0.0115,100.0,76.649,5.8e-05,4.6,5238.3
28,0.013,99.894,76.702,2.7e-05,4.6,5238.3
29,0.0127,99.947,76.649,8e-06,4.5,5238.3
30,0.0148,99.947,76.649,1e-06,4.5,5238.3
