epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0634,2.447,2.766,0.0001,6.1,6991.6
2,4.1284,7.926,13.511,0.0002,4.7,6991.6
3,2.8559,31.383,40.266,0.0003,4.8,6991.6
4,1.5997,59.681,61.862,0.0004,4.9,6991.6
5,0.8173,78.085,70.053,0.0005,4.9,6991.6
6,0.4713,86.33,73.298,0.0006,4.8,6991.6
7,0.2782,93.191,75.319,0.0007,5.0,6991.6
8,0.1634,96.436,75.957,0.0008,4.9,6991.6
9,0.0985,98.564,76.702,0.0009,4.9,6991.6
10,0.064,99.362,77.394,0.001,4.8,6991.6
11,0.0431,99.574,76.596,0.000995,4.9,6991.6
12,0.0298,99.84,77.819,0.000977,4.9,6991.6
13,0.0251,99.681,77.713,0.000948,4.7,6991.6
14,0.0225,99.84,77.394,0.000908,4.7,6991.6
15,0.0145,100.0,78.404,0.000857,4.9,6991.6
16,0.0117,100.0,78.404,0.000798,4.8,6991.6
17,0.0102,99.947,78.138,0.000732,4.8,6991.6
18,0.0082,100.0,78.83,0.00066,4.9,6991.6
19,0.0072,100.0,78.298,0.000584,5.2,6991.6
20,0.0089,99.947,78.085,0.000506,4.9,6991.6
21,0.007,100.0,78.191,0.000428,4.8,6991.6
22,0.0053,100.0,78.245,0.000351,4.8,6991.6
23,0.0051,100.0,78.298,0.000278,4.8,6991.6
24,0.0052,100.0,78.298,0.000211,4.8,6991.6
25,0.0045,100.0,78.404,0.000151,5.0,6991.6
26,0.0046,100.0,78.457,9.9e-05,4.9,6991.6
27,0.0045,100.0,78.404,5.8e-05,4.8,6991.6
28,0.0048,100.0,78.298,2.7e-05,4.8,6991.6
29,0.0043,100.0,78.351,8e-06,4.9,6991.6
30,0.0045,100.0,78.351,1e-06,4.9,6991.6
