epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.3727,2.021,1.543,1e-06,6.3,10153.2
2,5.1945,1.543,2.606,2e-06,4.8,10153.2
3,4.7114,2.5,3.564,3e-06,5.1,10153.2
4,4.2466,3.245,4.362,4e-06,5.2,10153.2
5,4.0335,4.521,7.074,5e-06,5.0,10153.2
6,3.7415,8.617,16.489,6e-06,5.0,10153.2
7,3.4527,17.234,28.138,7e-06,5.0,10153.2
8,3.0722,27.128,40.319,8e-06,5.0,10153.2
9,2.6037,36.436,50.957,9e-06,5.2,10153.2
10,2.1724,45.479,58.032,1e-05,5.0,10153.2
11,1.7282,56.33,63.032,1e-05,4.9,10153.2
12,1.4814,61.383,66.223,1e-05,4.9,10153.2
13,1.2411,68.351,67.553,1e-05,5.0,10153.2
14,1.0845,72.926,68.617,9e-06,5.1,10153.2
15,0.9702,74.096,69.787,9e-06,5.0,10153.2
16,0.8428,78.989,70.532,8e-06,4.8,10153.2
17,0.7914,79.309,71.489,8e-06,5.1,10153.2
18,0.6962,82.394,71.915,7e-06,4.9,10153.2
19,0.6723,83.245,71.702,6e-06,5.1,10153.2
20,0.5774,86.968,72.553,6e-06,5.0,10153.2
21,0.5874,85.426,73.191,5e-06,5.0,10153.2
22,0.5615,86.011,73.245,4e-06,5.1,10153.2
23,0.5361,87.074,72.872,3e-06,5.0,10153.2
24,0.5086,87.234,73.085,3e-06,4.9,10153.2
25,0.4747,88.564,73.457,2e-06,5.0,10153.2
26,0.4824,88.351,73.298,2e-06,5.0,10153.2
27,0.473,88.723,73.298,2e-06,5.1,10153.2
28,0.4497,88.883,73.298,1e-06,4.9,10153.2
29,0.4803,88.83,73.404,1e-06,5.1,10153.2
30,0.4469,89.415,73.351,1e-06,4.9,10153.2
