epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.101,2.181,2.553,0.0001,6.0,4755.7
2,4.2893,5.904,10.851,0.0002,4.3,4755.7
3,3.0682,26.436,35.638,0.0003,4.6,4755.7
4,1.8922,54.043,55.426,0.0004,4.7,4755.7
5,1.0751,72.553,65.745,0.0005,4.8,4755.7
6,0.6564,82.872,69.415,0.0006,4.6,4755.7
7,0.4167,90.266,72.128,0.0007,4.6,4755.7
8,0.2746,94.202,74.255,0.0008,4.6,4755.7
9,0.174,96.702,74.255,0.0009,4.4,4755.7
10,0.1147,98.723,75.585,0.001,4.5,4755.7
11,0.0852,99.309,76.436,0.000995,4.4,4755.7
12,0.0626,99.681,76.649,0.000977,4.9,4755.7
13,0.0453,99.84,76.755,0.000948,4.4,4755.7
14,0.0345,99.84,77.128,0.000908,4.5,4755.7
15,0.0268,100.0,76.968,0.000857,4.5,4755.7
16,0.0221,100.0,77.181,0.000798,4.5,4755.7
17,0.0208,100.0,76.862,0.000732,4.6,4755.7
18,0.0177,100.0,76.543,0.00066,4.5,4755.7
19,0.0191,99.894,76.809,0.000584,4.5,4755.7
20,0.0184,99.947,77.447,0.000506,4.8,4755.7
21,0.0151,100.0,77.34,0.000428,4.5,4755.7
22,0.0135,100.0,77.234,0.000351,4.6,4755.7
23,0.0136,100.0,77.181,0.000278,4.4,4755.7
24,0.0125,100.0,77.128,0.000211,4.4,4755.7
25,0.0121,100.0,77.021,0.000151,4.5,4755.7
26,0.0119,100.0,77.181,9.9e-05,4.5,4755.7
27,0.0117,100.0,77.181,5.8e-05,4.5,4755.7
28,0.0113,100.0,77.287,2.7e-05,4.5,4755.7
29,0.0115,100.0,77.234,8e-06,4.7,4755.7
30,0.0116,100.0,77.234,1e-06,4.5,4755.7
