epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,6.3333,1.176,1.078,0.0001,5.0,6689.0
2,5.4899,2.745,5.196,0.0002,3.8,6689.0
3,3.916,12.157,30.588,0.0003,3.8,6689.0
4,2.1167,58.333,78.039,0.0004,4.0,6689.0
5,0.6736,93.333,95.686,0.0005,4.0,6689.0
6,0.1269,99.412,99.02,0.0006,4.1,6689.0
7,0.0285,100.0,99.118,0.0007,4.0,6689.0
8,0.0125,100.0,99.118,0.0008,4.0,6689.0
9,0.0073,100.0,99.216,0.0009,3.9,6689.0
10,0.0052,100.0,99.314,0.001,3.9,6689.0
11,0.0037,100.0,99.412,0.000995,3.9,6689.0
12,0.0036,100.0,99.412,0.000978,3.9,6689.0
13,0.0027,100.0,99.412,0.00095,4.1,6689.0
14,0.0027,100.0,99.412,0.00091,4.0,6689.0
15,0.0023,100.0,99.412,0.000861,4.0,6689.0
16,0.0023,100.0,99.412,0.000802,4.1,6689.0
17,0.0021,100.0,99.412,0.000736,4.2,6689.0
18,0.0021,100.0,99.412,0.000664,4.1,6689.0
19,0.002,100.0,99.412,0.000588,4.0,6689.0
20,0.0019,100.0,99.412,0.00051,4.0,6689.0
21,0.0018,100.0,99.412,0.000432,4.0,6689.0
22,0.0018,100.0,99.412,0.000356,3.9,6689.0
23,0.0017,100.0,99.412,0.000283,4.1,6689.0
24,0.0018,100.0,99.412,0.000215,4.0,6689.0
25,0.0019,100.0,99.412,0.000154,4.0,6689.0
26,0.0018,100.0,99.51,0.000102,4.0,6689.0
27,0.0019,100.0,99.51,6e-05,4.0,6689.0
28,0.0017,100.0,99.51,2.9e-05,4.0,6689.0
29,0.0017,100.0,99.51,9e-06,4.0,6689.0
30,0.0018,100.0,99.51,1e-06,4.1,6689.0
