epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2759,1.383,2.447,0.0001,7.5,14881.1
2,4.3097,3.936,9.681,0.0002,6.1,14881.1
3,3.1278,22.447,33.298,0.0003,6.3,14881.1
4,1.9889,51.649,53.404,0.0004,6.4,14881.1
5,1.1161,71.915,64.521,0.0005,6.4,14881.1
6,0.6916,81.064,69.574,0.0006,6.3,14881.1
7,0.4606,87.606,71.489,0.0007,6.4,14881.1
8,0.3039,92.021,73.83,0.0008,6.5,14881.1
9,0.2116,95.426,74.681,0.0009,6.5,14881.1
10,0.1502,97.553,75.053,0.001,6.5,14881.1
11,0.1009,98.564,75.957,0.000995,6.4,14881.1
12,0.0713,99.521,75.957,0.000977,6.5,14881.1
13,0.057,99.681,76.117,0.000948,6.3,14881.1
14,0.0458,99.787,76.277,0.000908,6.3,14881.1
15,0.0409,99.787,76.915,0.000857,6.3,14881.1
16,0.0356,99.894,77.234,0.000798,6.3,14881.1
17,0.0291,100.0,76.755,0.000732,6.5,14881.1
18,0.0282,99.947,77.287,0.00066,6.5,14881.1
19,0.027,99.947,77.553,0.000584,6.5,14881.1
20,0.0234,99.947,77.447,0.000506,6.3,14881.1
21,0.0212,100.0,77.66,0.000428,6.4,14881.1
22,0.0197,99.947,76.968,0.000351,6.4,14881.1
23,0.02,99.894,77.128,0.000278,6.4,14881.1
24,0.0187,100.0,77.34,0.000211,6.3,14881.1
25,0.0177,100.0,77.394,0.000151,6.3,14881.1
26,0.0182,100.0,77.34,9.9e-05,6.3,14881.1
27,0.0186,100.0,77.5,5.8e-05,6.4,14881.1
28,0.0165,100.0,77.447,2.7e-05,6.3,14881.1
29,0.0179,99.894,77.447,8e-06,6.4,14881.1
30,0.0165,100.0,77.447,1e-06,6.5,14881.1
