epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,6.2155,0.392,0.686,0.0001,4.6,3791.4
2,5.3969,1.471,4.706,0.0002,3.6,3791.4
3,3.8794,14.706,31.863,0.0003,3.9,3791.4
4,2.0559,57.549,79.314,0.0004,4.0,3791.4
5,0.6294,93.529,96.373,0.0005,4.1,3791.4
6,0.1115,99.412,98.922,0.0006,4.0,3791.4
7,0.0248,99.902,99.118,0.0007,3.9,3791.4
8,0.0099,100.0,99.118,0.0008,4.0,3791.4
9,0.0059,100.0,99.314,0.0009,3.9,3791.4
10,0.0035,100.0,99.412,0.001,3.7,3791.4
11,0.0027,100.0,99.412,0.000995,4.0,3791.4
12,0.0024,100.0,99.412,0.000978,3.9,3791.4
13,0.0021,100.0,99.412,0.00095,3.9,3791.4
14,0.0019,100.0,99.412,0.00091,3.8,3791.4
15,0.0017,100.0,99.412,0.000861,3.9,3791.4
16,0.0018,100.0,99.412,0.000802,3.8,3791.4
17,0.0016,100.0,99.412,0.000736,3.9,3791.4
18,0.0015,100.0,99.412,0.000664,3.8,3791.4
19,0.0015,100.0,99.412,0.000588,3.9,3791.4
20,0.0014,100.0,99.412,0.00051,3.7,3791.4
21,0.0014,100.0,99.412,0.000432,3.9,3791.4
22,0.0015,100.0,99.412,0.000356,4.0,3791.4
23,0.0014,100.0,99.412,0.000283,3.8,3791.4
24,0.0013,100.0,99.412,0.000215,4.0,3791.4
25,0.0013,100.0,99.412,0.000154,3.9,3791.4
26,0.0013,100.0,99.412,0.000102,3.7,3791.4
27,0.0015,100.0,99.412,6e-05,3.9,3791.4
28,0.0012,100.0,99.412,2.9e-05,3.8,3791.4
29,0.0012,100.0,99.412,9e-06,3.8,3791.4
30,0.0012,100.0,99.412,1e-06,3.9,3791.4
