epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0354,2.234,3.032,0.0001,7.9,14881.1
2,4.1241,6.383,11.277,0.0002,6.3,14881.1
3,3.0002,26.702,36.649,0.0003,6.7,14881.1
4,1.8725,54.894,55.585,0.0004,6.3,14881.1
5,1.0768,72.394,66.223,0.0005,6.6,14881.1
6,0.6537,83.032,70.16,0.0006,6.3,14881.1
7,0.4323,88.351,73.032,0.0007,6.4,14881.1
8,0.2817,93.67,73.67,0.0008,6.3,14881.1
9,0.2011,95.798,74.628,0.0009,6.4,14881.1
10,0.1425,97.872,75.319,0.001,6.2,14881.1
11,0.1026,98.67,75.106,0.000995,7.0,14881.1
12,0.0757,99.362,75.372,0.000977,6.4,14881.1
13,0.0557,99.787,76.277,0.000948,6.5,14881.1
14,0.0459,99.947,75.798,0.000908,6.3,14881.1
15,0.0374,99.947,75.957,0.000857,6.5,14881.1
16,0.0333,99.894,76.277,0.000798,6.7,14881.1
17,0.0304,99.894,76.33,0.000732,6.6,14881.1
18,0.0277,99.947,76.649,0.00066,6.5,14881.1
19,0.0244,100.0,76.223,0.000584,6.6,14881.1
20,0.0234,100.0,76.223,0.000506,6.8,14881.1
21,0.0226,99.947,76.33,0.000428,6.5,14881.1
22,0.0206,100.0,76.596,0.000351,6.5,14881.1
23,0.0191,100.0,76.649,0.000278,6.4,14881.1
24,0.0198,99.947,76.489,0.000211,6.3,14881.1
25,0.0181,100.0,76.543,0.000151,6.9,14881.1
26,0.0185,100.0,76.489,9.9e-05,6.5,14881.1
27,0.0176,100.0,76.33,5.8e-05,6.5,14881.1
28,0.0171,100.0,76.436,2.7e-05,6.5,14881.1
29,0.0164,99.947,76.436,8e-06,6.5,14881.1
30,0.0177,100.0,76.489,1e-06,6.5,14881.1
