method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
full,all,flowers,42,85877094,85877094,100.0,98.725,98.91,30,5e-05,0.05,0.1,10153.9,128.2
full,all,flowers,43,85877094,85877094,100.0,99.02,98.797,30,5e-05,0.05,0.1,10153.9,127.0
